event,file_size,storage_mode,max_erasures,time
erasure_write,10240,erasure_coding_rs,1,2.205325126647949
finished,10240,erasure_coding_rs,1,2.2069690227508545
erasure_write,10240,erasure_coding_rs,1,0.0034482479095458984
finished,10240,erasure_coding_rs,1,0.004213094711303711
erasure_write,10240,erasure_coding_rs,1,0.0027365684509277344
finished,10240,erasure_coding_rs,1,0.003175973892211914
erasure_write,10240,erasure_coding_rs,1,0.002777099609375
finished,10240,erasure_coding_rs,1,0.003331899642944336
erasure_write,10240,erasure_coding_rs,1,0.0027506351470947266
finished,10240,erasure_coding_rs,1,0.0032548904418945312
erasure_write,10240,erasure_coding_rs,1,0.0035958290100097656
finished,10240,erasure_coding_rs,1,0.0043752193450927734
erasure_write,10240,erasure_coding_rs,1,0.0027933120727539062
finished,10240,erasure_coding_rs,1,0.003376483917236328
erasure_write,10240,erasure_coding_rs,1,0.00362396240234375
finished,10240,erasure_coding_rs,1,0.004254579544067383
erasure_write,10240,erasure_coding_rs,1,0.002674579620361328
finished,10240,erasure_coding_rs,1,0.0031926631927490234
erasure_write,10240,erasure_coding_rs,1,0.00274658203125
finished,10240,erasure_coding_rs,1,0.003418445587158203
erasure_write,10240,erasure_coding_rs,1,0.0026307106018066406
finished,10240,erasure_coding_rs,1,0.00313568115234375
erasure_write,10240,erasure_coding_rs,1,0.0026845932006835938
finished,10240,erasure_coding_rs,1,0.0031731128692626953
erasure_write,10240,erasure_coding_rs,1,0.0029969215393066406
finished,10240,erasure_coding_rs,1,0.003552675247192383
erasure_write,10240,erasure_coding_rs,1,0.0035457611083984375
finished,10240,erasure_coding_rs,1,0.004161357879638672
erasure_write,10240,erasure_coding_rs,1,0.0027048587799072266
finished,10240,erasure_coding_rs,1,0.0032434463500976562
erasure_write,10240,erasure_coding_rs,1,0.002672910690307617
finished,10240,erasure_coding_rs,1,0.0032427310943603516
erasure_write,10240,erasure_coding_rs,1,0.002710580825805664
finished,10240,erasure_coding_rs,1,0.0032205581665039062
erasure_write,10240,erasure_coding_rs,1,0.002888202667236328
finished,10240,erasure_coding_rs,1,0.003587961196899414
erasure_write,10240,erasure_coding_rs,1,0.0027239322662353516
finished,10240,erasure_coding_rs,1,0.0033311843872070312
erasure_write,10240,erasure_coding_rs,1,0.0026924610137939453
finished,10240,erasure_coding_rs,1,0.003307342529296875
erasure_write,10240,erasure_coding_rs,1,0.0027272701263427734
finished,10240,erasure_coding_rs,1,0.0033953189849853516
erasure_write,10240,erasure_coding_rs,1,0.0027399063110351562
finished,10240,erasure_coding_rs,1,0.0032913684844970703
erasure_write,10240,erasure_coding_rs,1,0.0029175281524658203
finished,10240,erasure_coding_rs,1,0.0034284591674804688
erasure_write,10240,erasure_coding_rs,1,0.0027446746826171875
finished,10240,erasure_coding_rs,1,0.0032491683959960938
erasure_write,10240,erasure_coding_rs,1,0.0028336048126220703
finished,10240,erasure_coding_rs,1,0.003396749496459961
erasure_write,10240,erasure_coding_rs,1,0.002675294876098633
finished,10240,erasure_coding_rs,1,0.003162384033203125
erasure_write,10240,erasure_coding_rs,1,0.0026934146881103516
finished,10240,erasure_coding_rs,1,0.003224611282348633
erasure_write,10240,erasure_coding_rs,1,0.0033638477325439453
finished,10240,erasure_coding_rs,1,0.00402522087097168
erasure_write,10240,erasure_coding_rs,1,0.0027310848236083984
finished,10240,erasure_coding_rs,1,0.00327301025390625
erasure_write,10240,erasure_coding_rs,1,0.002633810043334961
finished,10240,erasure_coding_rs,1,0.003099679946899414
erasure_write,10240,erasure_coding_rs,1,0.003174304962158203
finished,10240,erasure_coding_rs,1,0.003912448883056641
erasure_write,10240,erasure_coding_rs,1,0.003464221954345703
finished,10240,erasure_coding_rs,1,0.00397491455078125
erasure_write,10240,erasure_coding_rs,1,0.002682209014892578
finished,10240,erasure_coding_rs,1,0.003222227096557617
erasure_write,10240,erasure_coding_rs,1,0.0030260086059570312
finished,10240,erasure_coding_rs,1,0.0035250186920166016
erasure_write,10240,erasure_coding_rs,1,0.002680540084838867
